address,label,tier,notes,source_url
0x1584cb3b5a84944bd0db072c43d67189397071b6,Trader_0x1584,2,,https://polymarket.com/@0x1584cB3b5a84944bD0DB072C43d67189397071b6-1764065910511
0x2e4d05beafd81a6e85bc0c6a94820d61ef34f703,woshiLimpeh,2,,https://polymarket.com/@woshiLimpeh
0x0aae5c4ec45339a64a1dd2fe4ba98c2a19eb251c,uncleroger,2,,https://polymarket.com/@uncleroger
0x08458f7e9d2858027de579e4c3ca305475496b6f,Trader_0x0845,2,,https://polymarket.com/profile/0x08458f7e9d2858027de579e4c3ca305475496b6f
0xa61ef8773ec2e821962306ca87d4b57e39ff0abd,risk-manager,1,,https://polymarket.com/@risk-manager
0xf32a44b612a60f2b0c0f23c419876ec1c89c06fd,Dit26978,2,,https://polymarket.com/@Dit26978
0x05ab749a8554fb7c852238c271d384bae6798145,SeniorLaghetto,1,,https://polymarket.com/@SeniorLaghetto
0xc851cd9bee7d262afd78674f861f9f576a12cd2a,betwick,2,,https://polymarket.com/@betwick
0xfcf2378f20cf408d077c21e731272f21cccea469,Roflan-ludoman,2,,https://polymarket.com/@Roflan-ludoman
0xb10047d6a254b2ebb306d7a7d13bf59171ab6461,Parz1vaI,1,,https://polymarket.com/@Parz1vaI
0x35bbbad2415fe5e39b12da9a316cdc80b022009b,MisTKy,1,,https://polymarket.com/@MisTKy
0xc1b399b26020a4f689108e9640fd3dc8ffc8501c,CoffeeLover,1,,https://polymarket.com/@CoffeeLover
0xf0ed9e68e6cd3ee712260abeaec32de56a7d47d8,LinaBell,1,,https://polymarket.com/@LinaBell
0x4b7410aefbf0f38012b0dfb1131a4de147a9e8d7,Gr33d,2,,https://polymarket.com/@Gr33d
0x22e4248bdb066f65c9f11cd66cdd3719a28eef1c,ProfessionalPunter,1,,https://polymarket.com/@ProfessionalPunter
0x8f42ae0a01c0383c7ca8bd060b86a645ee74b88f,cashy,2,,https://polymarket.com/@cashy
0x9dfe2f73d3c988a9d69df8fa0beb85651340b3dd,Moond,1,,https://polymarket.com/@Moond
0x6ffb4354cbe6e0f9989e3b55564ec5fb8646a834,AgricultureSecretary,2,,https://polymarket.com/@AgricultureSecretary
0xfbfd14dd4bb607373119de95f1d4b21c3b6c0029,Trader_0xfbfd,2,,https://polymarket.com/profile/0xfbfd14dd4bb607373119de95f1d4b21c3b6c0029
0x8247f6d658b0afe22414a12e9f6c57058a9dd8cc,jinsun1377,2,,https://polymarket.com/@jinsun1377
0x0f863d92dd2b960e3eb6a23a35fd92a91981404e,Qualitative,1,,https://polymarket.com/@Qualitative
0x7ac83882979ccb5665cea83cb269e558b55077cd,nicoco89,1,,https://polymarket.com/@nicoco89
0x8f7a4b414417911e7e9bd738399874792cdbdb40,duderr,2,,https://polymarket.com/@duderr
0x184e98eb1d39dfb9e7750e860512a9adbcbecf96,Mr-Anderson,2,,https://polymarket.com/@Mr-Anderson
0x1e1f17412069c0736adfaadf8ee7f46e5612c855,Brokie,2,,https://polymarket.com/@Brokie
0xc25427ea224b8f9fa2df801233f944006ed33f73,Taikatalvi,2,,https://polymarket.com/@Taikatalvi
0xd218e474776403a330142299f7796e8ba32eb5c9,cigarettes,2,,https://polymarket.com/@cigarettes
0x25dcf4635fe93082e0849fbbf81c95680cf5e33b,XieGuangKun,2,,https://polymarket.com/@XieGuangKun
0x5bffcf561bcae83af680ad600cb99f1184d6ffbe,YatSen,2,,https://polymarket.com/@YatSen
0x40471b34671887546013ceb58740625c2efe7293,esports095,1,,https://polymarket.com/@esports095
0x5ecde7348ea5100af4360dd7a6e0a3fb1d420787,HanRiverVictim,2,,https://polymarket.com/@HanRiverVictim
0x2d613c30614b68eada0a37d65bddf3778d981fa7,generalVR,2,,https://polymarket.com/@generalvr
0xf8eb681fb8909496dc15aea5b233b310e2db8473,holymolypoylmoly,2,,https://polymarket.com/@holymolypoylmoly
0x81525952f172646a4104030e9a9ef1e769c7bfda,KimJonEn,2,,https://polymarket.com/@kimjonen
0xe02c5438dfb907d5ac4cbf3967b45d14e4ed5d08,Festka,2,,https://polymarket.com/profile/0xe02c5438dfb907d5ac4cbf3967b45d14e4ed5d08
0x77c812f7735ad07e3ce58fd466a0e1b4346bbc8c,dudukos,2,,https://polymarket.com/@dudukos
0x21405be22aa7fc6983d91113b79d94cd73c35790,Entropy8,2,,https://polymarket.com/@entropy8
0x4a2be7a7e6e3b41dc2de00706b4c09660ca9af20,troim,2,,https://polymarket.com/@troim
0x29d337076f24d135b7b2b08796edfff4e32cb2ed,PancraceRoyer,2,,https://polymarket.com/@pancraceroyer
0xa9aca75fb5d8f04c2ec9eeb0eb0c30d2e526c5d1,suraxy,2,,https://polymarket.com/profile/0xa9aca75fb5d8f04c2ec9eeb0eb0c30d2e526c5d1
0xa022ba0a68e11a78348382ff168601012d4d77f8,yungstalin,2,,https://polymarket.com/@yungstalin
0xc6587b11a2209e46dfe3928b31c5514a8e33b784,Erasmus,2,,https://polymarket.com/profile/0xc6587b11a2209e46dfe3928b31c5514a8e33b784
0xe05f5943a8adf19d59d0d63d77b7eb681297b3e8,TangledUpInBlue,2,,https://polymarket.com/profile/0xe05f5943a8adf19d59d0d63d77b7eb681297b3e8
0xdcd669c506a938bae9269a84b8bd2bdb220484cd,thegreengem,2,,https://polymarket.com/@thegreengem
0x74f1b8944c7b10f7239e3dda0de6b8ee42e816a8,probability,2,,https://polymarket.com/@probability
0x154794795d978c5890b3f69264311f0bd966d066,PMTraderAdam,2,,https://polymarket.com/@pmtraderadam
0xdac56442dacdaa0a170de01c09750319059cae24,VNINVESTOR,2,,https://polymarket.com/@vninvestor
0x9c2617462567859fcf5764e03b9a687ebca274bc,tigerofthehood,2,,https://polymarket.com/@tigerofthehood
0xf1899a30a2c016941bf4abd77b900ecacd768e47,Alicia,2,,https://polymarket.com/@alicia
